Component,Efficiency,Power (kW),Mass (kg),Status,Notes
Quantum Core Processor,97.4,1250,480,Online,Primary compute node
Holographic Projection Array,89.2,340,120,Online,5D render engine
Neural Link Interface,95.8,85,32,Online,EVE cognitive bridge
Biometric Auth Module,99.1,12,8,Online,Voice + retinal scan
Data Fusion Engine,92.6,420,195,Online,Multi-source aggregation
Sovereign Memory Stack,88.7,310,210,Online,Long-term storage array
Voice Synthesis Unit,96.3,45,18,Online,ElevenLabs integration
Omega Lock Gateway,100.0,28,14,Online,Security perimeter
Solar Harvester Array,78.4,0,880,Online,Passive power collection
Cooling Mesh Network,91.2,180,240,Online,Liquid nitrogen loop